Wed Sep  4 11:09:25 CDT 2013
Tarek 26
Frequency	Temp	Power	Utilization
1197.0		27.0	580	1.0
1330.0		30.5	600	1.0
1330.0		32.5	610	1.0
1463.0		31.25	620	1.0
1596.0		33.25	640	1.0
1729.0		35.0	660	1.0
1729.0		36.25	670	1.0
1862.0		36.5	680	1.0
1862.0		38.0	690	1.0
1862.0		38.75	700	1.0
1995.0		38.5	720	1.0
1995.0		41.75	730	1.0
2128.0		40.0	750	1.0
2128.0		44.0	760	1.0
2261.0		42.25	780	1.0
2261.0		44.25	790	1.0
2261.0		46.75	800	1.0
2394.0		44.5	820	1.0
2394.0		47.5	830	1.0
2394.0		48.75	840	1.0
